id,priority,area,status,title,problem,done_when,commit_message
UI-001,P0,panel,todo,Add light theme + system default,Only dark theme; need light mode for system light preference,Theme supports auto/light/dark; default auto respects prefers-color-scheme,"feat(panel): add light theme + theme switch"
UI-002,P0,panel,todo,Replace browser dialogs (confirm/prompt),Native dialogs look ugly and break UX,All destructive actions use in-app modal; no window.confirm/prompt usage,"ui(panel): replace browser dialogs with modal"
UI-003,P0,panel,todo,Add Minecraft flavor to UI,Panel lacks Minecraft identity,Subtle pixel/block styling added without hurting readability,"ui(panel): add minecraft flavor styling"
UI-004,P0,panel,todo,Simplify topbar online indicator,Topbar online badge is visually heavy,Topbar status uses a small dot with tooltip,"ui(panel): simplify online indicator"
1,P0,repo,done,Create initial git history,Repo currently has no commits; hard to track incremental progress,Initial commit exists and .env is ignored,"chore(repo): initial import"
2,P0,docs,done,Define milestone workflow list,Need a single source of truth for what to fix next,WORKFLOW.csv tracked and referenced in README,"docs: add WORKFLOW.csv roadmap"
3,P0,panel,done,Panel UI redesign (spacing/typography/buttons),Current UI feels cluttered and unattractive; buttons stick and tables overflow,All pages have consistent spacing; buttons compact; tables never overflow; key info is readable,"ui(panel): compact controls + card-based lists"
4,P0,panel,done,Refactor large page into components,app/page.tsx is too large and hard to iterate safely,Split views into separate files via context provider without behavior regression,"refactor(panel): split page into views"
5,P0,panel,done,Polish Games UX: persist per-instance config,Settings (jar/mem/port/frp) are not persisted per server; restart loses intent,Daemon stores config under servers/<id>/elegantmc.json (or similar) and Panel reads/writes it,"feat(games): persist instance config"
6,P0,daemon,done,Fix daemon build determinism (go.sum/modules),Docker build/host build may fail due to missing go.sum or module drift,daemon/go.sum committed and docker build succeeds consistently,"fix(daemon): add go.sum + tidy modules"
7,P0,daemon,done,Make Java selection configurable per instance,Users need automatic Java selection but also manual override per server,Panel settings supports optional java_path; daemon respects saved java_path when starting,"feat(daemon): per-instance java override"
8,P1,panel,done,Improve Nodes page: copy token + claim wording,Node management needs smoother UX and clearer ownership semantics,Token column has copy; add-node explains 'delete to rotate'; no overflow,"ui(nodes): improve table actions + copy"
9,P1,panel,done,Improve FRP page: compact form + status clarity,FRP list/form still feels busy; online status should be obvious,Table shows colored status+latency; form aligned; actions grouped,"ui(frp): refine profiles UI"
10,P1,daemon,done,Expose node IP/ports more reliably,LAN/public IP detection can be confusing in docker and multi-nic setups,Daemon heartbeat includes preferred_connect_addrs list; panel displays best socket,"feat(daemon): add preferred connect addrs"
11,P1,panel,done,Add Paper install option in install modal,Users want more than vanilla; paper already supported by daemon,Install modal supports Vanilla/Paper selection and parameters,"feat(panel): add paper install flow"
12,P1,panel,done,Improve file manager UX (breadcrumbs + delete),File manager lacks delete/rename and navigation feels rough,Breadcrumb navigation; delete file/folder; safer confirmations,"feat(files): breadcrumbs + delete"
13,P2,security,done,Hardening: session cleanup + basic rate limit,Auth is minimal; should avoid brute-force and unbounded session map,Login attempts rate-limited; expired sessions cleaned up periodically,"sec(panel): rate limit login + session GC"
14,P2,docs,done,Write deployment guide (China/VPS/FRP),Need step-by-step for公网Panel+家用Daemon+FRP,README includes full deployment + troubleshooting + security checklist,"docs: deployment guide"
